episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
74, -2901.743924856186, 2, 43.01165914701414, 86, 5550,                                         5550, 30.661115646362305, 106.53634643554688
75, -2557.350410223007, 2, 24.430028528993716, 49, 5599,                                         5599, 30.926149368286133, 106.99334716796875
76, 2362.806115852669, 1, 14.97209032200044, 30, 5629,                                         5629, 41.966861724853516, 107.86365509033203
77, -2825.8966757059097, 2, 35.91103722798289, 72, 5701,                                         5701, 34.95810317993164, 108.22402954101562
78, -3081.353157222271, 2, 62.93993389501702, 126, 5827,                                         5827, 30.644866943359375, 108.80168914794922
79, 2270.998494029045, 1, 24.498594566015527, 49, 5876,                                         5876, 30.17395782470703, 107.78648376464844
80, -3224.2415640354156, 2, 47.445207401004154, 95, 5971,                                         5971, 30.349863052368164, 107.67578887939453
81, -2657.6712572574615, 2, 19.599215622001793, 39, 6010,                                         6010, 33.74301528930664, 109.57355499267578
82, 2337.3070846796036, 1, 26.965425607020734, 54, 6064,                                         6064, 31.759960174560547, 110.60029602050781
83, -2486.1258903741837, 2, 14.964223273011157, 30, 6094,                                         6094, 35.36630630493164, 109.0126953125
84, 2345.9174116551876, 1, 21.926340400008485, 44, 6138,                                         6138, 35.96235275268555, 111.42863464355469
85, -2527.5585957169533, 2, 28.4393164840003, 57, 6195,                                         6195, 45.678714752197266, 112.26622772216797
86, -457.38249027729034, 5, 15.52916804101551, 31, 6226,                                         6226, 29.06122589111328, 110.07920837402344
87, 2271.24011695385, 1, 19.050558287010062, 38, 6264,                                         6264, 31.048683166503906, 110.53280639648438
88, -3158.9258332261816, 2, 46.509644132020185, 93, 6357,                                         6357, 29.29428482055664, 111.17832946777344
89, 1496.4076353311539, 1, 38.40744858200196, 77, 6434,                                         6434, 27.94809913635254, 112.27529907226562
90, -3014.5374168157578, 2, 15.455410811002366, 31, 6465,                                         6465, 32.830116271972656, 112.30054473876953
91, -2199.008800983429, 2, 17.523312057979638, 35, 6500,                                         6500, 30.068124771118164, 112.14759063720703
92, -2434.693800330162, 2, 34.55313059099717, 69, 6569,                                         6569, 27.52325439453125, 112.65576934814453
93, -3095.233392715454, 2, 46.0212479569891, 92, 6661,                                         6661, 31.425870895385742, 112.073974609375
94, 2277.4219810962677, 1, 27.444578496011673, 55, 6716,                                         6716, 30.085159301757812, 112.94747924804688
95, -966.9732451438904, 5, 17.021355903008953, 34, 6750,                                         6750, 32.66417694091797, 114.13279724121094
96, -2458.101789176464, 2, 26.029757493990473, 52, 6802,                                         6802, 30.723081588745117, 114.04759979248047
97, -3015.363318324089, 2, 75.75099291300285, 152, 6954,                                         6954, 30.762845993041992, 115.71178436279297
98, 2395.5001353025436, 1, 19.94621916898177, 40, 6994,                                         6994, 27.371423721313477, 114.66563415527344
99, 1384.5348276644945, 1, 52.37271925897221, 105, 7099,                                         7099, 34.88785171508789, 115.54669189453125
100, -2626.9885742664337, 2, 19.956908433989156, 40, 7139,                                         7139, 36.957420349121094, 115.0168228149414
101, -2399.4690294265747, 2, 23.99720496899681, 48, 7187,                                         7187, 28.00452995300293, 115.43682861328125
102, -2357.8821275234222, 2, 19.414693675003946, 39, 7226,                                         7226, 30.981948852539062, 117.11253356933594
