episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
28, -2445.8452894687653, 2, 17.752404658996966, 36, 2297,                                         2297, 23.065975189208984, 52.270450592041016
29, -844.5017694234848, 5, 56.533485975000076, 115, 2412,                                         2412, 25.114704132080078, 53.1923942565918
30, -988.1194116324186, 4, 80.20930276898434, 163, 2575,                                         2575, 26.8116397857666, 54.656005859375
31, -2355.8452216386795, 2, 31.07044743502047, 63, 2638,                                         2638, 28.791677474975586, 56.40232849121094
32, 1651.8996014595032, 1, 67.81135278998408, 138, 2776,                                         2776, 20.922061920166016, 55.88789367675781
33, -2538.1180970668793, 2, 21.22461908002151, 43, 2819,                                         2819, 25.928892135620117, 57.075984954833984
34, -2993.857852935791, 2, 43.7307519709575, 89, 2908,                                         2908, 22.18085289001465, 57.27764129638672
35, -2853.3335522413254, 2, 39.30127659102436, 80, 2988,                                         2988, 22.02834129333496, 58.13065719604492
36, 1864.431140601635, 1, 57.02358955901582, 116, 3104,                                         3104, 26.210887908935547, 60.22382354736328
37, -4141.771585673094, 2, 77.13498433696805, 157, 3261,                                         3261, 26.609590530395508, 61.992610931396484
38, -763.5165468454361, 4, 80.10054666298674, 163, 3424,                                         3424, 27.965316772460938, 63.46921920776367
39, -801.7779803276062, 4, 80.13316501199733, 163, 3587,                                         3587, 23.382043838500977, 64.52635955810547
40, 2358.609094262123, 1, 14.74655715195695, 30, 3617,                                         3617, 22.61945915222168, 66.93187713623047
41, 2193.5879066712223, 1, 40.39110275998246, 82, 3699,                                         3699, 24.606216430664062, 66.01362609863281
42, 2098.556192100048, 1, 31.457363357010763, 64, 3763,                                         3763, 24.778274536132812, 66.9017105102539
43, -2731.022625684738, 2, 35.3954931399785, 72, 3835,                                         3835, 25.08501434326172, 67.74280548095703
44, 1327.911141872406, 1, 74.19638391502667, 151, 3986,                                         3986, 24.608448028564453, 68.7257080078125
45, -3208.7615320682526, 2, 38.31546244898345, 78, 4064,                                         4064, 26.35330581665039, 68.82179260253906
46, 2303.307104587555, 1, 20.63896026200382, 42, 4106,                                         4106, 22.121877670288086, 69.01905822753906
47, 1935.8776443898678, 1, 56.04317285999423, 114, 4220,                                         4220, 22.213655471801758, 70.24413299560547
48, -3308.7752363681793, 2, 25.16200089099584, 51, 4271,                                         4271, 31.074419021606445, 71.03636169433594
49, 2319.711253285408, 1, 18.682072994997725, 38, 4309,                                         4309, 22.894515991210938, 70.82260131835938
50, 1765.085268203169, 1, 21.23038857599022, 43, 4352,                                         4352, 29.260496139526367, 73.15980529785156
51, -2775.7309370040894, 2, 44.22136385901831, 90, 4442,                                         4442, 29.46877670288086, 74.40227508544922
52, 2091.061379611492, 1, 29.048400780011434, 59, 4501,                                         4501, 24.257919311523438, 74.37133026123047
53, 1231.1798887252808, 1, 51.09424039599253, 104, 4605,                                         4605, 25.69378662109375, 74.39140319824219
54, -2779.4875522851944, 2, 29.9682048719842, 61, 4666,                                         4666, 26.743738174438477, 75.66157531738281
55, 2436.750266045332, 1, 15.729046135034878, 32, 4698,                                         4698, 40.18509292602539, 77.7531509399414
56, -2674.8340377807617, 2, 38.35194317402784, 78, 4776,                                         4776, 28.419029235839844, 75.5716552734375
57, -2337.655049085617, 2, 29.98160524299601, 61, 4837,                                         4837, 29.23786735534668, 77.41587829589844
58, -2483.6380569934845, 2, 25.579335836984683, 52, 4889,                                         4889, 25.662456512451172, 76.3092269897461
