episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -6012.508456230164, 4, 27.285996005000925, 115, 115,                                         115, 11.282208442687988, 18.201568603515625
2, -7134.110719680786, 2, 56.72664319999967, 112, 227,                                         227, 8.513670921325684, 69.36589050292969
3, -4158.067406654358, 2, 37.05477941599929, 73, 300,                                         300, 14.095647811889648, 64.4242172241211
4, -3422.026604652405, 4, 79.98716518299989, 158, 458,                                         458, 14.44507122039795, 70.72013092041016
5, -3183.1078672409058, 2, 20.831027100000938, 41, 499,                                         499, 13.594833374023438, 71.77552032470703
6, -3426.7595705986023, 2, 26.83316634699986, 53, 552,                                         552, 16.337711334228516, 72.60387420654297
7, -5231.639078140259, 2, 45.01390800199988, 89, 641,                                         641, 18.012550354003906, 77.37640380859375
8, -3528.646900177002, 2, 15.663318932000038, 31, 672,                                         672, 19.133670806884766, 81.8805160522461
9, -4566.094722747803, 2, 50.324216648999936, 99, 771,                                         771, 21.982194900512695, 87.32836151123047
10, -3432.8492002487183, 2, 25.310711219999575, 50, 821,                                         821, 22.60903549194336, 93.36996459960938
11, -2889.4049792289734, 2, 20.974640668000575, 41, 862,                                         862, 24.455162048339844, 96.39456176757812
12, -3566.426378250122, 2, 26.865021763000186, 53, 915,                                         915, 28.866514205932617, 99.04180145263672
13, -3686.4508304595947, 2, 33.00630756499959, 65, 980,                                         980, 28.874780654907227, 103.84532928466797
14, -3553.635199010372, 2, 44.58168416599983, 88, 1068,                                         1068, 25.26165008544922, 108.53694152832031
15, -3446.6383996009827, 2, 21.83698913199987, 43, 1111,                                         1111, 30.9263916015625, 112.56822204589844
16, -4170.124268531799, 2, 39.61359823800012, 78, 1189,                                         1189, 28.80784034729004, 117.01051330566406
17, -3776.294542312622, 2, 35.40140851999968, 70, 1259,                                         1259, 35.57814407348633, 122.88582611083984
18, -2976.456373691559, 2, 16.836598432000756, 33, 1292,                                         1292, 30.623001098632812, 127.9022216796875
19, -2588.2892138399184, 2, 21.966268008000043, 43, 1335,                                         1335, 37.843135833740234, 128.83090209960938
20, -4146.345303535461, 2, 27.416084086999035, 54, 1389,                                         1389, 32.5050048828125, 133.46885681152344
21, -3443.6264839172363, 2, 23.81286738400013, 47, 1436,                                         1436, 34.94710159301758, 137.50357055664062
22, -2773.809740204364, 2, 27.382482490998882, 54, 1490,                                         1490, 34.60715866088867, 139.57492065429688
23, -3107.3724546432495, 2, 18.771706831999836, 37, 1527,                                         1527, 34.3523063659668, 144.2115936279297
24, -3397.815488100052, 2, 31.389086243998463, 62, 1589,                                         1589, 39.18584060668945, 147.0865936279297
25, -11237.5488448143, 2, 67.99475581500155, 134, 1723,                                         1723, 37.14284133911133, 188.1187744140625
26, -3111.467421770096, 2, 15.839356292999582, 31, 1754,                                         1754, 39.8973503112793, 158.62632751464844
27, -4906.569797992706, 2, 61.798184113999014, 122, 1876,                                         1876, 37.80714416503906, 168.34219360351562
28, -2991.871792078018, 2, 25.44293640399883, 50, 1926,                                         1926, 29.95621109008789, 175.29637145996094
29, -3055.1473593711853, 2, 17.35597652800061, 34, 1960,                                         1960, 36.314598083496094, 178.7186279296875
30, -3006.451575770974, 2, 25.888438400001178, 51, 2011,                                         2011, 39.32304763793945, 182.12472534179688
